localidad;provincia;región
Bahía Blanca;Buenos Aires;Buenos Aires
Bariloche;Rio Negro;Patagonia
CABA;Ciudad Aut. de Bs. As.;CABA
Cafayate;Salta;Norte
Calafate;Santa Cruz;Patagonia
Carlos Paz;Cordoba;Córdoba
Catamarca;Catamarca;Norte
Córdoba;Cordoba;Córdoba
Corrientes;Corrientes;Litoral
Formosa;Formosa;Litoral
Gualeguaychú;Entre Rios;Litoral
Jujuy;Jujuy;Norte
La Angostura;Neuquen;Patagonia
La Falda;Cordoba;Córdoba
La Rioja;La Rioja;Cuyo
Las Grutas;Rio Negro;Patagonia
Malargue-Las Leñas;Mendoza;Cuyo
Mar Chiquita;Cordoba;Córdoba
Mar del Plata;Buenos Aires;Buenos Aires
Mendoza;Mendoza;Cuyo
Merlo;San Luis;Cuyo
Mina Clavero;Cordoba;Córdoba
Neuquén;Neuquen;Patagonia
Paraná;Entre Rios;Litoral
Pinamar;Buenos Aires;Buenos Aires
Posadas;Misiones;Litoral
Puerto Iguazú;Misiones;Litoral
Puerto Madryn;Chubut;Patagonia
Rafaela;Santa Fe;Litoral
Resistencia;Chaco;Litoral
Río Cuarto;Cordoba;Córdoba
Rio Gallegos;Santa Cruz;Patagonia
Rosario;Santa Fe;Litoral
Salta;Salta;Norte
San Juan;San Juan;Cuyo
San Luis;San Luis;Cuyo
San Martín de los Andes;Neuquen;Patagonia
San Rafael;Mendoza;Cuyo
Santa Fe;Santa Fe;Litoral
Santa Rosa;La Pampa;Patagonia
Santiago del Estero;Santiago del  Estero;Norte
Tandil;Buenos Aires;Buenos Aires
Termas;Santiago del  Estero;Norte
Tucumán;Tucuman;Norte
Ushuaia;Tierra del Fuego;Patagonia
Valle de Uco;Mendoza;Cuyo
Viedma;Rio Negro;Patagonia
Villa General Belgrano;Cordoba;Córdoba
Villa Gesell;Buenos Aires;Buenos Aires
